Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Jackson,,,,2910124520,6 String,Matte Army Drab,Solid,Right-Handed,299.99
DEB,2019,Okoume,DEB Luthier Built Guitars,Custom,6 String,White,Solid,Right-Handed,525.00
KTONE,,,,,6 String,Red,Double Neck,,329.95
Vintage,,Solid Wood,,V62AB,6 String,Blonde,Solid,Right-Handed,339.00
Epiphone,,,,Sheraton II PRO,6 String,Red,Semi-Hollow,Right-Handed,599.95
ESP,,,,,,,,,379.99
ESP LTD,,,ESP LTD,EC-1000T/CTM,6 String,Snow white,,Right-Handed,975.00
Greco,,,,,,,,,650.00
Godin,,,,,,,,,879.99
EVH,,,,,,,,,717.15
PRS,2016,Maple,,CE 24,,,,,1425.00
Ibanez,,,,,,,,,299.99
ESP LTD,,,,,,,,,699.00
Squier,,Poplar,,,,,Solidbody,,399.99
Ibanez,,,,,,,,,399.99
Fender,,Alder,Fender Stratocaster,Classic,6 String,,Solid,,500.00
Gibson,2019,Solid Wood,,Flying V,6 String,Natural,Solid,Right-Handed,1199.99
Guild,2016,Maple,Newark St.,Starfire IV,6 String,Antique Sunburst,Semi-Hollow,Right-Handed,759.00
Fender,2003,,Fender Stratocaster,Standard Stratocaster,6 String,Black,Solid,Left-Handed,369.99
Dean,,,,,,,,,549.00
,,,,,,,,,3499.00
,2012,,,,,,,,1495.00
Inyen,,,,,,,,,549.00
ESP Guitars,,,,,,,,,339.00
Fender,2018,,Fender Stratocaster,Custom,6 String,Daphne Blue,Solid,Right-Handed,625.00
Paul Reed Smith,,,,,,,,,647.74
LTD,,,,V-401DX,6 String,,Solid,Right-Handed,375.00
Paradis Avalon,2006,Maple,Avalon,Paradis,6 String,Clear,Semi-Hollow,Right-Handed,15750.00
Mosley,,,,Fullertion,6 String,Green,Solid,Right-Handed,725.00
Thornton,,,,,,,,,1950.00
fusion,,,,fusion,6 String,Black,Solid,,850.00
Fanatics Authentic,,,,,,,,,299.99
Jackson,,,,,,,,,519.99
