Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Gretsch,2019,,Gretsch Streamliner,G2622 Streamliner,6 String,Phantom Metallic,Semi-Hollow,Right-Handed,399.95
KTONE,,,,,6 String,Red,Double Neck,,329.95
Jackson,,,,2910124520,6 String,Matte Army Drab,Solid,Right-Handed,299.99
DEB,2019,Okoume,DEB Luthier Built Guitars,Custom,6 String,White,Solid,Right-Handed,525.00
Vintage,,Solid Wood,,V62AB,6 String,Blonde,Solid,Right-Handed,339.00
G&L,,,G&L Tribute,Classic Bluesboy,,Blue,,,300.00
GRETSCH®,,,,Rancher Falcon,12 String,White,Hollow,,529.99
Ibanez,,,,S520EX,6 String,,Solid,,379.99
PRS,2019,Solid Wood,,SE Standard 24,6 String,Translucent Blue,Solid,,499.00
EVH,1999,,,Peavey EVH USA Wolfgang Special,6 String,Purple,Solid,Right-Handed,650.00
Epiphone,,Korina,,1958 Korina Explorer,6 String,Natural,Solid,Right-Handed,499.95
Jackson,,,,2910124520,6 String,Matte Army Drab,Solid,Right-Handed,299.99
Vintage,,Solid Wood,,V62AB,6 String,Blonde,Solid,Right-Handed,339.00
Schecter,2016,,,,,Lambo Orange,,,369.00
Unbranded,2019,Basswood,,Y-P3,6 String,Black,Solid,Right-Handed,289.19
Jackson,Not Known,Nato,X Series,Mark Morton,6 String,Black,Solid,Right-Handed,649.00
,,,,Vintage,,,,,295.00
Bolin,1989,,,Joker Guitar,6 String,Purple & Green,Solid,,2895.00
Sterling by Music Man,,,,,,,,,745.55
Schecter Guitar Research,,,,,,,,,1007.20
Cabo Wabo,,,,,,,,,352.77
Ibanez,,,,,,,,,399.99
Fender,2018,,Fender Stratocaster,Custom,6 String,Daphne Blue,Solid,Right-Handed,625.00
Jackson,,,,,,,,,659.99
Ibanez,,,,,,,,,1039.99
Guild,,,,Vintage,,,,,399.99
,,,,,,,,,299.00
Aelita,,,,,6 String,,,,539.00
D'Angelico,,,D'Angelico Premier,EXL-1,6 String,Ocean Turquoise,Hollowbody,Right-Handed,619.00
Fender,,Alder,Fender Telecaster,Plus,6 String,Green,Solid,,1000.00
Fanatics Authentic,,,,,,,,,299.99
Schecter,,,,,,,,,849.00
