Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,,Alder,Fender Telecaster,72 Telecaster Deluxe,6 String,,Solid,,550.00
Fender,,,Fender Stratocaster,Custom,,,,,700.00
Fender,2009,,Fender Stratocaster,,6 String,Honeyburst,,Right-Handed,1099.99
,,,,,,,,,409.88
Fender,,,,,,,,,754.88
Fender,,,,,,,,,879.00
Fender,2003,,Fender Telecaster,Highway One,6 String,Blond,Solid,,899.99
Fender,,'Walnut, Maple, Polyurethane, Alder',Fender Stratocaster,Vintage,6 String,White,Solid,Right-Handed,1475.00
Fender,,,,Super Sonic,6 String,,Solid,Right-Handed,650.00
Fender,,Alder,Fender Stratocaster,Eric Clapton Signature,6 String,Olympic White,Solid,Right-Handed,1250.00
Fender,,,,Vintage,6 String,Brown,Solid,,975.00
Fender,,,Fender Stratocaster,,,,,,819.00
Fender,,,,Custom,,,,,975.00
Fender Japan,1993,,Fender Stratocaster,Stratocaster,6 String,Walnut,Solid,,589.99
Fender,,Alder,Fender Telecaster,Plus,6 String,Green,Solid,,1000.00
Fender,,,,,,,,,699.99
Fender,2004,,Fender Stratocaster,Stratocaster,6 String,Tobacco Burst,Solid,Right-Handed,845.00
Fender,2018,,Fender Jaguar,,6 String,Olive,Solid,Right-Handed,1050.00
Fender,2015,Ash,Fender Telecaster,Vintage,6 String,Blond,Solid,,899.00
Custom by Nate's Relic Guitars,2019,'Solid Wood, Basswood',,Strat Style,6 String,Red,Solid,,819.50
Fender,2019,Alder,,Stratocaster,6 String,Olympic White,Solid,,659.00
Fender,1988,,Fender Stratocaster,Plus,6 String,Vintage Yellow,Solid,Right-Handed,1450.00
Fender,2015,Alder,Fender Stratocaster,Custom,6 String,White,Solid,Right-Handed,475.00
Fender,,,Fender Stratocaster,,6 String,Crimson Red Transparent,Solid,,899.00
Fender,,,Fender Stratocaster,Vintage Modified,6 String,Sunburst,Stratocaster,Right-Handed,299.99
Fender,2014,Maple,Fender Stratocaster,,6 String,White,Solid,,475.00
Fender,2017,,Fender Stratocaster,,,Black,,,549.99
Fender,,,Fender Telecaster,,,,,,1100.00
,,,,,,,,,695.00
Fender,2011,,Fender Telecaster,Telecaster Special,,,,,795.00
Fender,2015,'Solid Wood, Pine',Fender Telecaster,Fender Modern Player Telecaster Plus,6 String,Honey Burst,Solid,Right-Handed,429.00
Fender,,,,,,,,,750.00
Fender,,,,0144512515,,,,,549.99
Fender,2003,Alder,Fender Stratocaster,Stratocaster American Standard,6 String,,Solid,Right-Handed,870.00
Fender,,,,Fender Player Stratocaster Plus Top Maple Fingerboard Aged Cherry,6 String,Aged Cherry,,Right-Handed,599.00
Fender,2017,,Fender Jaguar,,,Red,,,1050.00
Fender,2004,,,Telecaster Classic,6 String,Arctic Blue,Solid,Left-Handed,450.00
Fender,1994,,Fender Stratocaster,,,,,Right-Handed,350.00
Fender,,Alder,,,,,Solidbody,,624.99
Squier,,,,0374080572-COMBO-DLX,6 String,Sonic Blue,Solid,Right-Handed,384.99
Fender,2005,Maple,,Showmaster QMT,6 String,Amber,Solid,Right-Handed,549.99
Fender,,,,SQCONTSTRATHHLHMNBLKMET,,,,,349.99
Fender,,,Fender Stratocaster,,,Black,,,649.00
Fender,,,Fender Stratocaster,Vintage,,,,,645.00
Fender Squier,2019,,Squier,J Mascis Jazzmaster,6 String,Vintage White,,Right-Handed,449.99
Fender,2018,,Fender Telecaster,Custom,,,,,753.00
Fender,1992,,Fender Stratocaster,,,,,Right-Handed,350.00
Fender,1989,Ash,TL52-SPL,TL52-SPL,6 String,Yellow,Solid,Right-Handed,1000.00
,,Alder,,Stratocaster,6 String,Silver,Solid,,550.00
Fender,,,Fender Stratocaster,Vintage,,,,,523.00
Fender,,,,,,,,,799.99
Fender,,Alder,,,6 String,,,Right-Handed,1200.00
Fender,1993,Alder,Fender Stratocaster,Strat Plus,6 String,White,Solid,Right-Handed,999.99
Squier,,,,,,,,,359.99
Fender,1998,,,Stratocaster,6 String,Black,Solid,Right-Handed,349.99
Fender,,,,0370590505,,,,,299.99
,,,,,,,,,580.00
Fender,1993,Alder,American Standard,Stratocaster,6 String,Midnight Blue,Solid,Right-Handed,849.00
Fender,1999,'Ash, Rosewood',Fender Stratocaster,Stratocaster American Standard,6 String,,Solid,,875.00
Fender,2019,,Fender Stratocaster,Stratocaster HSS,6 String,Jade Pearl Metallic,Solid,Right-Handed,1199.00
Fender Squier,1984 - 1987,,,Telecaster,6 String,Black,Solid,Right-Handed,375.00
Fender,2001,Wood,Fender Stratocaster,Classic 50's,6 String,Sunburst,Solid,Right-Handed,679.00
Fender,,,,,,Red,,,1600.00
Squier,1996,,Fender Telecaster,Telecaster Thinline,6 String,Red,Semi-Hollow,Right-Handed,1200.00
Squier,,,,Telecaster,,,,,299.00
Fender,2011,,Fender Stratocaster,Stratocaster Delux,,,,,425.00
Fender,,Alder,Fender Stratocaster,S-1,6 String,,Solid,Right-Handed,1199.00
Squier,,,Fender Stratocaster,,,,,,397.24
