Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Gibson,,,,Firebird I,6 String,Natural,Solid,Right-Handed,1999.99
Gibson,2015,,Gibson Les Paul,Les Paul Studio,,Blue,,,699.99
Gibson,,,,,,,,,630.88
Gibson,,,,,6 String,,Solid,,1100.00
Gibson,,,,,,,,,799.99
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Mojave burst,Solid,Right-Handed,2150.00
Gibson,,,Epiphone Les Paul,Les Paul Standard,,,,,450.00
Gibson,2018,,Gibson SG,Gary Clark Jr SG,6 String,Red,Solid,Right-Handed,1425.00
Gibson,2012,,Gibson SG,,,Red,Solid,Right-Handed,799.99
Gibson,2019,,Studio,Firebird Studio,,Red,Solid,,849.95
Gibson,,,,Custom shop R3 R4 R5 R6 R7 R8 R9 R0,,,,,299.00
Gibson,2017,,Gibson SG,SG Special,,,,,599.00
gibson,2019,,,SG,6 String,Vintage Cherry,solid,Right-Handed,1699.00
Gibson Custom,2019,Solid Wood,Gibson EDS 1275 Double Neck,Slash 1966 EDS 1275,12/6 String,Black,Solid,,10999.00
Gibson,1976,Maple,Bolt-On Neck,Vintage,6 String,Wine Red,Solid,Right-Handed,1699.00
Gibson,,,,,,,,,2250.00
PRS,2001,Mahogany,,Santana SE,6 String,Tobacco Sunburst,Solid,Right-Handed,425.00
Gibson,2011,,Gibson Les Paul,Les Paul 60s Tribute,6 String,Satin Ebony,Les Paul,Right-Handed,849.00
Gibson,1993,Mahogany,,Chet Atkins CE,6 String,Antique Natural,Solid,Right-Handed,2950.00
Gibson,1992,,Gibson Les Paul,Les Paul Studio,,Red,,,850.00
Gibson,,,,,,,,,299.99
Gibson,2019,Solid Wood,,Les Paul Classic,6 String,Gold Top,Solid,Right-Handed,1849.99
Gibson,1993,Mahogany,,Nighthawk,6 String,Black,Solid,Right-Handed,799.00
Gibson,2016,,American Standard,Les Paul Standard Heritage Plus,6 String,Cherry Sunburst,Solid,Right-Handed,1825.00
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Cherry sunburst,Solid,Right-Handed,2150.00
Gibson,,,,,,,,,439.99
Gibson,2015,Solid Wood,,Les Paul Special,6 String,Cherry,Solid,,775.00
Gibson,2016,,Gibson Les Paul,Les Paul Studio HP,6 String,Ebony,Solid,Right-Handed,1300.00
Epiphone,2010,Walnut,Epiphone Les Paul,Les Paul Traditional,6 String,Brown,Solid,Left-Handed,575.00
Epiphone,2016,Maple,,ES-335 Pro L.E.,6 String,Iced Tea Burst,Solid,Right-Handed,559.50
Gibson,2005,Mahogany,Gibson SG,SG Limted Run,6 String,Gold,,Right-Handed,1100.00
Gibson,2007,,Gibson Les Paul,Les Paul Studio Gold Series,6 String,White,,Right-Handed,999.00
Gibson,2017,Mahogany,Gibson Studio,Firebird,5 String,Blue,Solid,Right-Handed,1099.00
Gibson,2014,Solid Wood,Gibson ES,ES 335 SATIN,6 String,SATIN CHERRY,Semi-Hollow,Right-Handed,2059.00
Gibson,1998,Mahogany,Gibson Flying V V98,Flying V Limited Edition V98,6 String,Natural,Solid,Right-Handed,1000.00
Gibson,2019,,Gibson Les Paul,,6 String,Iced Tea,,Right-Handed,975.00
Gibson USA,2019,,USA,SG TRIBUTE,6 String,VINTAHE CHERRY SATIN,Solid,Right-Handed,1099.99
Gibson,,Solid Wood,,Firebird I Non Reverse,6 String,Sunburst,Solid,,3100.00
Gibson,2014,,Gibson Les Paul,Les Paul Standard,,,,,1700.00
Gibson,1988,Mahogany,Gibson SG,SG Showcase Edition,6 String,Blue,Solid,Right-Handed,1300.00
Gibson,,,Gibson Les Paul,Les Paul Junior,,,,,1399.00
Gibson,1999,,Epiphone Les Paul,,,Silver,,,425.00
Epiphone,2017,'Mahogany Boday, Flamed Maple Top Veneer',Les Paul Standard Plus Top Pro,Les Paul Standard Plus Top Pro,6 String,Transparent Blue,Solid,Right-Handed,649.99
Gibson,2019,,Gibson ES,ES-335,6 String,Red,Semi-Hollow,Right-Handed,2799.00
Gibson,,,Gibson Les Paul,Les Paul 50s Tribute,,Gold,,,750.00
Gibson,2019,,Gibson SG,SG Standard,,,,,1700.00
Gibson,2015,,,Midtown,6 String,Blue,Solid,Right-Handed,1100.00
Gibson USA,2019,,,Les Paul Classic,6 String,Heritage Cherry Sunburst,Solid,,1799.00
Gibson,2016,'Maple Cap, Mahogany',Gibson Les Paul,Les Paul Axcess Custom,6 String,White,Solid,Right-Handed,4199.00
Gibson,1979,,Gibson Les Paul,Les Paul Deluxe,6 String,Ebony,Solid,Right-Handed,2800.00
Gibson Custom Shop,2019,,,Gibson Les Paul Custom Silverburst,6 String,Natural,Solid,,3500.00
Gibson,2011,,,SG Standard,6 String,White,Solid,Right-Handed,999.99
Gibson,,,,,,,,,549.99
Gibson,2007,,Gibson Les Paul,Les Paul Traditional,,,,,1289.99
Gibson,1998,Mahogany,Gibson Les Paul,1998 Les Paul Smartwood,6 String,Wood,Solid,Right-Handed,762.00
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Bourbon burst,Solid,Right-Handed,1999.00
Gibson,2018,Maple,Gibson ES,ES-335,6 String,White,Semi-Hollow,Right-Handed,1750.00
Orville by Gibson,1990,,,Les Paul Custom,6 String,Black,Solid,Right-Handed,999.00
Gibson,1991,,Gibson SG,SG Junior,6 String,Cherry Red,Solid,,950.00
Gibson,,,Gibson Custom,L-5 CES,6,Vintage Sunburst,Hollow body,Right-Handed,10999.99
Gibson,2013,,Gibson Les Paul,Les Paul Studio,6 String,Pelham blue,,Right-Handed,1150.00
Gibson,,,,Custom,,,,,5690.00
Gibson,1959,'Maple, Rosewood',Gibson ES,ES-330T Sunburst,6 String,,Hollow,,4200.00
Gibson,2007,Solid Wood,Gibson Les Paul,Les Paul Gold Top,6 String,Gold,Solid,Right-Handed,8400.00
Gibson,2000,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Fireburst,Solid,Right-Handed,974.95
Gibson,2018,,Gibson Les Paul,Custom,6 String,Gold,Solid,Right-Handed,5999.00
Gibson,2016,,Gibson Les Paul,Les Paul Studio HP,6 String,Ebony,Solid,Right-Handed,1300.00
Gibson,2018,Maple,Gibson ES,ES-335,6 String,White,Semi-Hollow,Right-Handed,1750.00
Gibson,2018,Solid Wood,,Les Paul Standard Custom Shop Limited Edition P-90,6 String,Brunswick Blue Sparkle,Solid,,2999.00
Gibson,,,Gibson Les Paul,FUTURE,,,,,819.00
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Bourbon burst,Solid,Right-Handed,1999.00
Gibson ES235 34 Burst,2019,,,,,,,,1699.00
Gibson,2011,,,SG Standard,6 String,White,Solid,Right-Handed,999.99
Gibson,2019,,Gibson Les Paul,Les Paul Standard,,,,,2349.00
Gibson,2017,,Gibson SG,SG Special,,,,,819.00
Gibson,2019,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Multicolor,Solid,Right-Handed,899.00
Gibson,2013,'Maple, Mahogany',Gibson Les Paul,Les Paul 60s,6 String,Gold,Solid,Right-Handed,1499.42
Orville by Gibson,1990,,,Les Paul Custom,6 String,Black,Solid,Right-Handed,999.00
Gibson,,,,,,,,,1539.99
Gibson,1991,,Gibson SG,SG Junior,6 String,Cherry Red,Solid,,950.00
Gibson,1999,,Gibson Les Paul,Les Paul Standard,6 String,,Solid,Right-Handed,1350.00
Gibson,2015,,Gibson Les Paul,SG,,,,,750.00
Gibson,,,Gibson SG,SG,,,Solid,,775.00
Gibson,2000,,Gibson SG,,,,,,900.00
Gibson,1997,,,Custom,,Black,,,3200.00
Gibson,2019,,Gibson Les Paul,,,,,,650.00
Gibson,2019,,Gibson SG,SG Special,6 String,Vintage Cherry,Solid,Right-Handed,575.00
Gibson,,,Gibson Les Paul,Marauder,6 String,Clear,Solid,Right-Handed,775.00
Gibson,1966,,,KG2A,6 String,Red,Solid,,599.00
Gibson,,,Gibson Les Paul,,,,,,1200.00
Gibson,,,Gibson SG,SG Jr,,Blue,,,2695.00
Gibson,2018,Walnut,Gibson SG,SG Special,,Brown,,,699.99
Gibson,,,,CS-336,6 String,TOBACCO SUNBURST,Semi-Hollow,Right-Handed,2600.00
Gibson,,,Gibson SG,SG,,,Solid,,599.00
Gibson,2018,,Gibson Les Paul,Les Paul Tribute,6 String,Satin Honeyburst,Solid,Right-Handed,875.00
Gibson,2013/2014,Mahogany,Gibson Les Paul,Les Paul Junior,6 String,Cherry,Solid,Right-Handed,650.00
Gibson,,,Gibson Les Paul,Les Paul Studio,,,,,632.00
Gibson,,,,,,,,,1499.00
Gibson,2005,Mahogany,Gibson SG,SG,6 String,Black,Solid,Right-Handed,1000.00
Gibson SG Style,Pre-1997,Solid Wood,Gibson SG Style,SG,6 String,Cherry,Solid,Right-Handed,6900.00
Gibson,,,Gibson Les Paul,,,,Semi-Hollow,,5400.00
Gibson,2018,,Gibson Les Paul,Les Paul Studio,,,,,799.00
Gibson,,,,Midtown Standard,6 String,Black,Semi-Hollow,Right-Handed,949.99
Gibson,,,Gibson ES,ES-339,,,,,1650.00
Gibson,2015,Solid Wood,Gibson Les Paul,Les Paul Traditional Pro III EX,6 String,Wine red,Solid,Right-Handed,1495.00
Gibson,,,,Gibson Flying V 2018 Cherry,,,,,899.99
Gibson,1996,'Solid Wood, Poplar',,Blueshawk,6 String,Black,Solid,Right-Handed,799.99
Gibson,,,Gibson Les Paul,Les Paul Studio,,Brown,,,550.00
Gibson,2016,Mahogany,Gibson SG,SG Naked,6 String,Natural,Solid,Right-Handed,800.00
Gibson,,,,,,,,Left-Handed,699.00
Gibson,2019,,,,,,,,1550.00
Gibson,,,Gibson Les Paul,,,,,,675.00
Gibson,2008,,Gibson Les Paul,Les Paul Studio Faded,,,,,725.00
Gibson,2016,,Gibson SG,SG Standard,6 String,,Solid,Right-Handed,900.00
Gibson,2016,'Maple, Ash, Mahogany',Gibson Les Paul,Les Paul Studio Faded,6 String,Brown,Solid,,695.00
Gibson,2017,'Solid Wood, Poplar',,Firebird Zero,6 String,Pelham Blue,Solid,Right-Handed,429.99
Gibson,,,,,,,,,359.99
Gibson,2019,,Gibson ES,Gibson ES-235,6 String,Ebony Gloss,Semi-Hollow,Right-Handed,1129.95
Gibson,,,,Gibson Les Paul Studio Tribute 2019 Tobacco Sunburst,,,,,699.99
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Gold,Solid,Right-Handed,1500.00
Gibson,,,Gibson Les Paul,Les Paul Traditional,,,,,481.00
Gibson,,,Gibson Les Paul,Classic,6 String,,,Left-Handed,1500.00
Gibson,2007,Mahogany,,67 Flying V RI,6 String,White,Solid,,2599.00
Gibson,,,,,,,,,1199.00
Gibson,,,,,,,,,359.99
Gibson,2019,,Gibson ES,Gibson ES-235,6 String,Ebony Gloss,Semi-Hollow,Right-Handed,1129.95
Epiphone,,,,,,,,,795.00
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Gold,Solid,Right-Handed,1500.00
Gibson,2019,,,,,,,,1550.00
Gibson,,,Gibson Les Paul,Les Paul Traditional,,,,,481.00
,,,,,,,,,1329.00
Gibson,,,Gibson Les Paul,Classic,6 String,,,Left-Handed,1500.00
Gibson,1995,,Gibson ES,,6 String,,,,1050.00
Gibson,2017,,Gibson Les Paul,Les Paul Classic,,,,,1399.00
Gibson,2018,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Cobalt blue,Solid,Right-Handed,2150.00
Gibson,2010,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Sunburst,Solid,,1900.00
Godin,2010s,Wild Cherry,,Kingpin II,6 String,Clear,Hollow,Right-Handed,700.00
Gibson,,,,,,,,,1199.00
Gibson,,,,,,,,,782.13
Gibson,,,,,,,,Left-Handed,1099.00
Gibson,1991,Mahogany,,M-III,6 String,Black,Solid,Right-Handed,1625.00
Gibson,2017,,Gibson Les Paul,Les Paul Traditional,,,,,1500.00
Gibson,,,,,,,,,649.99
Gibson,,,,Gibson Les Paul Studio Tribute 2019 Tobacco Sunburst,,,,,699.99
Gibson,2015,,Gibson Les Paul,special 100 Double Cut,6 String,Vintage Sunburst,Solid,Right-Handed,699.00
Does not apply,2016,,,Gibson Es -335 Memphis,6 String,Natural Figured,Semi Hollow,Right-Handed,3199.00
Gibson,,,,,,,,,1388.88
Gibson,2013,'Maple, Mahogany',Gibson Les Paul,Les Paul Studio,6 String,sunburst,Solid,Right-Handed,650.00
Gibson,2002,Mahogany,Les Paul,Studio,6 String,Flip Flop Teal,Solid,Right-Handed,674.00
Gibson,,,Gibson SG II,,6 String,Walnut,Solid,,899.00
Gibson,2012,,Gibson Explorer,,,,,,1299.00
Gibson,,,Gibson SG,SG Special,,,,,1188.00
Gibson,2014,'Maple, Ash, Mahogany',Gibson Les Paul Junior,Les Paul Junior,6 String,Red,Solid,Right-Handed,449.00
Gibson,,,Gibson Les Paul,Les paul Taditional 1960,,,,,1485.00
Gibson,,,,,6 String,Custom Gray,Solid,Right-Handed,1299.99
Gibson,,,,,,,,,1599.00
Gibson,1990,,Gibson Les Paul,Custom,,White,,,3149.00
Gibson,,,,,,,,,799.00
Epiphone,2012,Maple,,50th Anniversary Sheraton,6 String,Blonde,Semi-Hollow,Right-Handed,1099.99
Gibson,2016,,Gibson SG,SG Standard,6 String,Black,Solid,Right-Handed,999.98
Gibson,,,,,,,,,1999.00
Gibson,2009,,Gibson SG,SG Standard,6 String,Red,,,1149.95
Gibson,,,,,,,,,519.99
Takamine,,,Gibson Explorer,,6 String,,,,449.99
Gibson,,,,,,,Hollow,,1695.00
Gibson,,,,Les Paul JR Tribute DC Brown,,,,,599.99
Takamine,,,Gibson Explorer,Vintage,,,,,310.00
Gibson,2004,Mahogany,Gibson SG,SG Special,6 String,Faded Brown,Solid,Right-Handed,675.00
Gibson,2013,Solid Wood,Gibson Les Paul,Les Paul Standard Joe Bonamassa,6 String,Goldtop,Solid,Right-Handed,2650.00
Gibson,2010,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Sunburst,Solid,,1600.00
Gibson,2011,,Gibson Les Paul,Melody Maker,6 String,Black,Solid,,465.00
Gibson,2019,,Gibson Les Paul,Les Paul Jr 2019 DC Tribute,6 String,Worn Cherry Satin Finish,,Right-Handed,590.00
Gibson,2017,,Gibson Les Paul,Les Paul Classic,6 String,Green,,Right-Handed,1750.00
Gibson,1960,,,Les Paul 1960,6 String,Red,Solid,Right-Handed,799.99
Gibson,2018,Maple,Gibson Les Paul,Les Paul Deluxe,6 String,Blue,Solid,,1399.00
Gibson,,,Gibson Les Paul,,,,Double Neck,,500.00
Gibson,2004,,Gibson Explorer,Explorer 120,6 String,Black,Solid,Right-Handed,999.99
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Sea Foam Green,Solid,Right-Handed,1494.00
Gibson,2016,Maple,Gibson Les Paul,Les Paul Special,6 String,Tea Burst,Semi-Hollow,Right-Handed,1595.99
,,,,LES PAUL,6 String,Brown,,Right-Handed,2699.99
Gibson,,,Gibson Les Paul,,,,Double Neck,,500.00
Gibson,2018,Maple,Gibson Les Paul,Les Paul Deluxe,6 String,Blue,Solid,,1399.00
Gibson,2004,,Gibson Explorer,Explorer 120,6 String,Black,Solid,Right-Handed,999.99
Gibson,,,,,6 String,,Solid,Right-Handed,1295.00
Gibson,2017,Mahogany,Gibson Les Paul,Les Paul Classic,6 String,Sea Foam Green,Solid,Right-Handed,1494.00
Gibson,,,,,,,,,799.00
Gibson,2016,,Gibson Les Paul,Les Paul Gold Top,6 String,Gold,Solid,Right-Handed,850.00
Gibson,2018,,Gibson Les Paul,,6 String,Gold,,Right-Handed,875.00
Gibson,2018,,Gibson Les Paul,2018 Les Paul,6 String,Worn Cherry,Solid,Right-Handed,1099.95
Gibson,2005,,Studio,,,,,,900.00
Gibson,,,,,,,,,1399.00
Gibson,2013,,Gibson Les Paul SG Custom,Les Paul SG Custom,6 String,Cherry,Solid,Right-Handed,2199.99
Gibson,,,,Les Paul Studio,,,,,699.99
Gibson,,Solid Wood,,Les Paul Standard Plus,6 String,Sunburst,Solid,Right-Handed,1495.00
Gibson,2016,Maple,Gibson Les Paul,Les Paul Special,6 String,Tea Burst,Semi-Hollow,Right-Handed,1595.99
,,,,LES PAUL,6 String,Brown,,Right-Handed,2699.99
Gibson,2007,,Gibson Les Paul,Les Paul Studio,,White,,,999.99
Gibson,2015,Mahogany with Maple Cap,Gibson Les Paul,Les Paul Studio,6 String,Desert Burst,Solid,Right-Handed,909.00
gibson,,,,,,,,,2250.00
Gibson,1996,,Gibson Les Paul,Les Paul Studio,,Black,,,950.00
Gibson,2014,,Gibson Les Paul,LPJ,6 String,Vintage Sunburst,Solid,Right-Handed,536.99
Gibson,2016,,Gibson Les Paul,Les Paul Voodoo,6 String,Juju Red,Solid,,1195.00
Gibson,1973,,Gibson SG,SG Standard,,Walnut,,,1349.95
Gibson,,,Gibson Les Paul,,,,,,840.00
Warmoth,2019,Solid Wood,,Telecaster,6 String,Worn Surf Green,Solid,,599.00
Gibson,2008,,Gibson Les Paul,Les Paul Studio,6 String,Black,Solid,Right-Handed,695.00
Gibson,2018,,Gibson Les Paul,Les Paul Studio,,Desert Burst,,,850.00
Gibson,1980,,Gibson Les Paul,Les Paul Deluxe,,,,,1674.95
Gibson,2019,,Gibson Les Paul,Les Paul Standard,,,,,2150.00
Gibson,,,,,,,,,1099.00
Gibson,2008,,Gibson Les Paul,2008 Les Paul Studio – Ebony,,,,,749.99
Gibson,2015,Solid Wood,Gibson Les Paul traditional plus,Les Paul Traditional PLUS 100th anniversary,6 String,Ocean blue,Solid,Right-Handed,1875.00
Epiphone,,,,,,Red,,,454.99
Gibson,2014,Solid Wood,Gibson Les Paul,Les Paul classic custom 2,6 String,Natural finish,Solid,Right-Handed,2150.00
Gibson,,,,,,,,,799.00
Gibson,,,,Les Paul,,,Solid,,649.00
Gibson,2017,Solid Wood,Gibson Les Paul,Les Paul 50s Tribute,6 String,Gold Top,Solid,,995.00
Gibson,2014,Mahogany,,SGJ,6 String,Mahogany,,Right-Handed,499.99
Gibson,,,,,,,,,1499.00
Gibson,,,,,6 String,Sunburst / Dark Brown,Hollow,,1849.99
Gibson,,Solid Wood,,U2 Showcase Edition,6 String,Silver,Solid,,1599.00
Gibson,,,,,,,,,899.99
Gibson,2012,Solid Wood,Gibson Les Paul,Les Paul Studio Joe Bonamassa,6 String,Black,Solid,Right-Handed,1650.00
Gibson,,,,,,,,,849.00
Gibson,,,,,,,,,1399.00
Gibson,2013,,Gibson Les Paul,Les Paul,6 String,,Solid,Right-Handed,1495.00
Gibson,,Solid Wood,,Les Paul Standard,6 String,Sunburst,Solid,Right-Handed,1695.00
Gibson,,,,,,,,,1199.99
Gibson,,,,,,,,,1179.00
Gibson,,,,SG Standard,6 String,,,Right-Handed,1295.00
Gibson,1987,,,Invader,6 String,Ferrari Red,Solid,Right-Handed,708.00
Gibson,1996,,Gibson Les Paul,Les Paul Standard/Cherry Sunburst,6 String,Sunburst,Solid,,1799.00
,,,,sonex 180,,,,,699.00
Gibson,2013,Solid Wood,Gibson Les Paul,Les Paul Standard Joe Bonamassa,6 String,Goldtop,Solid,Right-Handed,2650.00
Gibson,2012,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Red,Solid,Right-Handed,700.00
Gibson,2017,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Honeyburst,Solid,Right-Handed,1999.00
Gibson,,,,,,,,,1999.00
Gibson,2007,'Solid Wood, Mahogany',Custom Shop,Flying V,6 String,Cherry Sunburst,Solid,Right-Handed,6295.00
Gibson,1998,,Gibson SG,SG,,,,,999.00
Gibson Custom Shop,1991,Mahogany,,Firebird IV,6 String,Frost Blue,Solid,,2388.00
Gibson,2009,,Gibson SG,SG Standard,6 String,Red,,,1149.95
Gibson,,,,,,,,,2231.00
Gibson,,,,,,,,,799.99
,,,,sonex 180,,,,,699.00
Gibson,2012,Mahogany,Gibson Les Paul,Les Paul Studio,6 String,Red,Solid,Right-Handed,700.00
Gibson,,,,,,,,,1199.99
Gibson,2017,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Honeyburst,Solid,Right-Handed,1999.00
Gibson,,Solid Wood,,ES-135H,6 String,Blue-Burst,Hollow,,1399.00
Gibson,,,,Les Paul Supreme,,,,,2599.99
Gibson,,Solid Wood,,Les Paul Classic,6 String,Sunburst,Solid,Right-Handed,1495.00
Gibson,2011,Solid Wood,Gibson Les Paul,Les Paul Traditional Pro,6 String,Wine red,Solid,Right-Handed,1550.00
Gibson,2019,'Solid Wood, Mahogany',Gibson Les Paul,Les Paul Standard,6 String,Seafoam Green,Solid,,2600.00
Gibson,,,,,,,,,3499.99
Gibson,,,,,6 String,Sunburst / Dark Brown,Hollow,,1849.99
Gibson,,,,,,,,,1999.00
Gibson,2015,,Gibson Les Paul,Les Paul Studio,,Gold,,,899.00
Gibson,1987,,,Invader,6 String,Ferrari Red,Solid,Right-Handed,708.00
Gibson,2012,,Gibson Les Paul,Les Paul Studio,6 String,Red,,,650.00
Gibson,2013,,Gibson Les Paul,Les Paul,,,Solid,,549.00
Gibson,1992,,Gibson Les Paul,Les Paul Studio,,Black,,,950.00
Gibson,,,,,,,,,2349.99
Gibson,2005,'Mahogany, Maple',Gibson Les Paul,Les Paul Standard,6 String,Red,Solid,Right-Handed,1350.00
Gibson,,,Gibson SG,Vintage,,,,,1299.00
Gibson,,,,,,,,,1099.00
Gibson,,Solid Wood,,Les Paul Junior,6 String,Cherry,Solid,,774.00
Gibson,1998,,Les Paul,Les Paul Special SL,6 String,Red,Solid,,649.99
,,,,LES PAUL CLASSIC,,,,,1399.00
,1997,,,,,,,,1425.00
Gibson,,,,,,,,,2349.99
Gibson,2014,,Gibson Les Paul,Les Paul Studio,6 String,Fireburst Candy,,Right-Handed,1138.00
Gibson,,,,,,,,,639.99
Gibson,2016,Solid Wood,Gibson Les Paul,Les Paul Standard,6 String,Iced teaburst,Solid,Right-Handed,2150.00
Gibson,2004,,Gibson Les Paul,Les Paul Standard,,Manhatten Midnight fade,,,1400.00
Gibson,,,,,,,,,1349.99
Gibson,,,,,6 String,,Solid,Right-Handed,1685.00
Gibson,2014,Solid Wood,,SG Standard 120th Anniversary,6 String,Alpine White,Solid,,1499.00
Gibson,2008 Guitar of the Year,,,Limited Edition,,Blue Tiger,Solid,Right-Handed,1500.00
Gibson,,,Gibson Les Paul,Les Paul Standard,,,,,3900.00
Gibson,2002,,Gibson Les Paul,Les Paul Studio Plus,6 String,,Solid,,925.00
Gibson,2015,Solid Wood,Gibson Les Paul,Les Paul Less Plus,6 String,Sunburst,Solid,Right-Handed,1295.00
Gibson,2012,Maple,Gibson Les Paul,Les Paul Studio,,Yellow,,,899.00
Gibson,2018,,Gibson Les Paul,,6 String,,Solid,,799.00
Gibson,1967,,Gibson ES,ES-120T,6 String,Ice Tea Sunburst,Semi-Hollow,Right-Handed,1430.00
,,,,,,,,,999.00
Gibson,2018,Solid Wood,,Firebird,6 String,Heather Poly,Solid,Right-Handed,1999.00
Gibson,,,,,,,,,1299.00
Gibson,,,,,6 String,,,,800.00
Gibson,2018,Solid Wood,,SG Standard HP,6 String,Heritage cherry,Solid,Right-Handed,1049.99
Gibson,2018,Solid Wood,,SG Standard,6 String,Cherry,Solid,,1999.00
Gibson,1992,,,Les Paul Classic,6 String,Honeyburst,Solid,Right-Handed,2295.00
Gibson,1991,,,Les Paul Studio,,Trans Red,,,899.99
Gibson,1981,,Sonex,SONEX-180 Deluxe,6 String,Black,Solid,Right-Handed,595.00
Gibson,,,,,,,,,669.99
Washburn,,Maple,,Custom,6 String,Maple flame top,Solid,Right-Handed,799.99
GIBSON,2013,,,ES-339,,,,,849.00
Gibson,2013,,Gibson SG,SG Standard Reissue,,White,,,1495.00
Gibson,,,Gibson SG,50s Tribute SG,,,,,850.00
Gibson,2016,Mahogany,Gibson SG,SG Standard,6 String,,,Right-Handed,1099.99
Gibson,2005,Solid Wood,,SG Angus Young,6 String,Red,Solid,Right-Handed,1995.00
Gibson,2017,,Gibson SG,SG Standard,,,,,1100.00
Gibson,,,Gibson Les Paul,Les Paul 60s,,,,,850.00
Gibson,2016,,,,6 String,,Solid,,3799.00
Gibson,2014,,Gibson Les Paul,Les Paul Signature 2014,6 String,,,Right-Handed,1625.00
Gibson,1999,,Gibson ES,ES-335,6 String,Black,Semi-Hollow,Right-Handed,4800.00
Gibson,2010,Mahogany,Gibson Les Paul,Custom,6 String,White,,Right-Handed,2699.00
Gibson,2018,,,ES-330,6 String,Black,Semi-Hollow,,1999.00
Gibson,,,,,6 String,,,,800.00
Gibson,2018,Solid Wood,,SG Standard HP,6 String,Heritage cherry,Solid,Right-Handed,1049.99
Gibson,,,,Les Paul Supreme,,,,,2599.99
Gibson,2018,Solid Wood,,SG Standard,6 String,Cherry,Solid,,1999.00
Gibson,1981,,Sonex,SONEX-180 Deluxe,6 String,Black,Solid,Right-Handed,595.00
Gibson,1992,,,Les Paul Classic,6 String,Honeyburst,Solid,Right-Handed,2295.00
Gibson,1991,,,Les Paul Studio,,Trans Red,,,899.99
Gibson,,,,,,,,,669.99
Gibson,2010,,Gibson SG,SG Standard,,,,,979.00
Gibson,1981,,,The Paul,6 String,Wine Red,Solid,Right-Handed,999.99
Washburn,,Maple,,Custom,6 String,Maple flame top,Solid,Right-Handed,799.99
Gibson,,Solid Wood,,ES-135H,6 String,Blue-Burst,Hollow,,1399.00
GIBSON,2013,,,ES-339,,,,,849.00
Gibson,,,Gibson SG,50s Tribute SG,,,,,850.00
Gibson,2016,Mahogany,Gibson SG,SG Standard,6 String,,,Right-Handed,1099.99
Gibson,2005,Solid Wood,,SG Angus Young,6 String,Red,Solid,Right-Handed,1995.00
Gibson,1992,,Gibson Les Paul,Les Paul Standard,6 String,Natural,Solid,,2250.00
Gibson,,,,,,,,,5499.99
Gibson,2018,,Gibson Les Paul,Les Paul Standard,6 String,Mojave Burst,,,1949.00
Gibson,,Mahogany,Gibson Melody Maker,Melody Maker,6 String,Sunburst,Solid,Right-Handed,1500.00
Gibson,2016,Solid Wood,Gibson Les Paul,Les Paul standard premium plus,6 String,Iced teaburst,Solid,Right-Handed,2250.00
Gibson,,,Gibson Les Paul,Les Paul Traditional,,Black,,,1200.00
Gibson,2006,,Gibson SG,,6 String,,Solid,Right-Handed,965.00
Gibson,,,,LES PAUL CLASSIC,,,,,1549.99
Gibson,,,Gibson Les Paul,Les Paul Studio 50’s Tribute,,,,,899.99
Gibson,,Solid Wood,,GK-55 Artist Active,6 String,Black,Solid,Right-Handed,800.00
GIBSON,2007,,,SG-3,,,,,849.00
Gibson,,,,,,,,,1499.00
